Producto_ID,formato_1,formato_2,formato_3,formato_4,formato_5,formato_6,Familia
P001,,C-25,C-25,B-25,B-25,E-25,F1
P002,,C-25,C-25,B-25,B-25,E-25,F1
P003,,C-25,C-25,B-25,B-25,E-25,F1
P004,,C-25,C-25,B-25,B-25,E-26,F1
P005,,C-26,C-26,B-26,B-26,E-25,F1
P006,,C-26,C-26,B-26,B-26,E-26,F1
P007,,C-26,C-26,B-26,B-26,E-27,F1
P008,,C-26,C-26,B-26,B-26,E-28,F1
P009,,C-30,C-30,B-5,UNIVERSAL,E-29,F1
P010,,C-30,C-30,B-5,UNIVERSAL,E-29,F1
P011,,C-29,C-29,B-29,B-29,E-29,F1
P012,,C-29,C-29,B-29,B-29,E-29,F1
P013,,C-29,C-29,B-29,B-29,E-29,F1
P014,,C-31,C-31,B-31,B-9,E-31,F1
