Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIAS,Familia
P001,,,,,,F3
P002,,,,,,F3
P003,C-21,UNIVERSAL,B-21,UNIVERSAL,,F3
P004,C-22,UNIVERSAL,B-22,UNIVERSAL,,F3
P005,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P006,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P007,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P008,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P009,,,,,,F3
P010,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P011,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P012,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P013,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P014,C-33,UNIVERSAL,B-5,UNIVERSAL,E-33,F3
P015,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P016,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P017,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P018,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P019,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,F3
P020,C-2 ,UNIVERSAL,B-5,UNIVERSAL,E-33,F3
P021,C-2 ,UNIVERSAL,B-5,UNIVERSAL,E-33,F3
P022,C-2 ,UNIVERSAL,B-5,UNIVERSAL,E-33,F3
P023,C-36,C-36,B-35,B-35,,F3
P024,C-36,C-36,B-35,B-35,,F3
P025,C-36,C-36,B-35,B-35,,F3
P026,C-36,C-36,B-35,B-35,,F3
P027,C-28,C-28,B-28,B-28,E-28,F3
P028,C-28,C-28,B-28,B-28,E-28,F3
P029,C-7,UNIVERSAL,B-5,UNIVERSAL,E-7,F3
