Producto_ID,formato_1,formato_2,formato_3,formato_4,formato_5,formato_6,Linea
P0001,,C-25,C-25,B-25,B-25,E-25,L1
P0002,,C-25,C-25,B-25,B-25,E-25,L1
P0003,,C-25,C-25,B-25,B-25,E-25,L1
P0004,,C-25,C-25,B-25,B-25,E-26,L1
P0005,,C-26,C-26,B-26,B-26,E-25,L1
P0006,,C-26,C-26,B-26,B-26,E-26,L1
P0007,,C-26,C-26,B-26,B-26,E-27,L1
P0008,,C-26,C-26,B-26,B-26,E-28,L1
P0009,,C-30,C-30,B-5,UNIVERSAL,E-29,L1
P0010,,C-30,C-30,B-5,UNIVERSAL,E-29,L1
P0011,,C-29,C-29,B-29,B-29,E-29,L1
P0012,,C-29,C-29,B-29,B-29,E-29,L1
P0013,,C-29,C-29,B-29,B-29,E-29,L1
P0014,,C-31,C-31,B-31,B-9,E-31,L1
P0015,,C-16,C-4,B-16,B-16,E-16,L1
P0016,,C-16,C-4,B-16,B-16,E-16,L1
P0017,,C-16,C-4,B-16,B-16,E-16,L1
P0018,,C-16,C-4,B-16,B-16,E-16,L1
P0019,,C-16,C-4,B-16,B-16,E-16,L1
P0020,,C-16,C-4,B-16,B-16,E-16,L1
P0021,,C-16,C-4,B-16,B-16,E-16,L1
P0022,,C-16,C-4,B-16,B-16,E-16,L1
P0023,,C-16,C-4,B-16,B-16,E-16,L1
P0024,,C-16,C-4,B-16,B-16,E-16,L1
P0025,,C-16,C-4,B-16,B-16,E-16,L1
P0026,,C-16,C-4,B-16,B-16,E-16,L1
P0027,,C-16,C-4,B-16,B-16,E-16,L1
P0028,,C-16,C-4,B-16,B-16,E-16,L1
P0029,,C-16,C-4,B-16,B-16,E-16,L1
P0030,,C-16,C-4,B-16,B-16,E-16,L1
P0031,,C-16,C-4,B-16,B-16,E-16,L1
P0032,,C-16,C-4,B-16,B-16,E-16,L1
P0033,,C-16,C-4,B-16,B-16,E-16,L1
P0034,,C-17,C-4,B-17,B-16,E-17,L1
P0035,,C-17,C-4,B-17,B-16,E-17,L1
P0036,,C-17,C-4,B-17,B-16,E-17,L1
P0037,,C-17,C-4,B-17,B-16,E-17,L1
P0038,,C-17,C-4,B-17,B-16,E-17,L1
P0039,,C-20,C-20,B-20,B-16,E-20,L1
P0040,,C-20,C-20,B-20,B-16,E-20,L1
P0041,,C-20,C-20,B-20,B-16,E-20,L1
P0042,,C-20,C-20,B-20,B-16,E-20,L1
P0043,,C-20,C-20,B-20,B-16,E-20,L1
P0044,,C-18,C-4,B-18,B-16,E-17,L1
P0045,,C-19,C-4,B-19,B-16,E-17,L1
P0046,,,,,,,L1
P0047,,,,,,,L1
P0048,A-1,C-21,UNIVERSAL,B-21,UNIVERSAL,,L1
P0049,A-1,C-22,UNIVERSAL,B-22,UNIVERSAL,,L1
P0050,A-1,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,L1
P0051,A-1,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,L1
P0052,A-1,C-8,UNIVERSAL,B-5,UNIVERSAL,E-8,L1
