Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIAS,Linea
P0001,,,,,,L2
P0002,,,,,,L2
P0003,C-17,C-17,B-15,B-15,E-8,L2
P0004,C-18,C-18,B-8,B-8,E-5,L2
P0005,C-19,C-19,B-23,B-23,E-16,L2
P0006,C-22,C-22,B-9,B-9,E-6,L2
P0007,C-22,C-22,B-9,B-9,E-6,L2
P0008,C-22,C-22,B-9,B-9,E-6,L2
P0009,C-22,C-22,B-9,B-9,E-6,L2
P0010,C-18,C-18,B-8,B-8,E-5,L2
P0011,C-18,C-18,B-8,B-8,E-5,L2
P0012,C-17,C-17,B-15,B-15,E-8,L2
P0013,C-17,C-17,B-15,B-15,E-8,L2
P0014,C-18,C-18,B-8,B-8,E-5,L2
P0015,C-17,C-17,B-15,B-15,E-8,L2
P0016,C-17,C-17,B-15,B-15,E-8,L2
P0017,C-22,C-22,B-9,,E-6,L2
P0018,C-22,C-22,B-9,B-9,E-6,L2
P0019,C-17,C-17,B-15,B-15,E-8,L2
P0020,C-22,C-22,B-9,B-9,E-6,L2
P0021,C-21,C-21,B-25,B-25,E-5,L2
P0022,C-21,C-21,B-25,B-25,E-5,L2
P0023,C-18,C-18,B-8,B-8,E-5,L2
P0024,C-19,C-19,B-23,B-23,E-16,L2
P0025,C-20,C-20,B-24,B-24,E-16,L2
P0026,C-22,C-22,B-9,B-9,E-6,L2
P0027,C-1,C-1,B-4,B-4,E-2,L2
P0028,C-1,C-1,B-4,B-4,E-2,L2
P0029,C-1,C-1,B-4,B-4,E-2,L2
P0030,C-1,C-1,B-4,B-4,E-2,L2
P0031,C-1,C-1,B-4,B-4,E-2,L2
P0032,C-1,C-1,B-4,B-4,E-2,L2
P0033,C-8,C-8,B-1,B-1,E-1,L2
P0034,C-8,C-8,B-1,B-1,E-1,L2
P0035,C-8,C-8,B-1,B-1,E-1,L2
P0036,C-8,C-8,B-1,B-1,E-1,L2
P0037,C-8,C-8,B-1,B-1,E-1,L2
P0038,C-8,C-8,B-1,B-1,E-1,L2
P0039,C-5,C-5,B-2,B-2,E-1,L2
P0040,C-5,C-5,B-2,B-2,E-1,L2
P0041,C-5,C-5,B-2,B-2,E-1,L2
P0042,C-5,C-5,B-2,B-2,E-1,L2
P0043,C-5,C-5,B-2,B-2,E-1,L2
P0044,C-8,C-8,B-1,B-1,E-1,L2
P0045,C-8,C-8,B-1,B-1,E-1,L2
P0046,C-5,C-5,B-2,B-2,E-1,L2
P0047,C-5,C-5,B-2,B-2,E-1,L2
P0048,C-5,C-5,B-2,B-2,E-1,L2
P0049,C-8,C-8,B-1,B-1,E-1,L2
P0050,C-8,C-8,B-1,B-1,E-1,L2
P0051,C-14,C-14,B-18,B-18,E-14,L2
P0052,C-15,C-15,B-19,B-19,E-14,L2
P0053,C-15,C-15,B-19,B-19,E-14,L2
P0054,C-15,C-15,B-19,B-19,E-14,L2
P0055,C-15,C-15,B-19,B-19,E-14,L2
P0056,C-13,C-13,B-17,B-17,E-14,L2
P0057,C-13,C-13,B-17,B-17,E-14,L2
P0058,C-13,C-13,B-17,B-17,E-14,L2
P0059,C-4,C-4,B-14,B-14,E-10,L2
P0060,C-15,C-15,B-19,B-19,E-14,L2
P0061,C-15,C-15,B-19,B-19,E-14,L2
P0062,C-15,C-15,B-19,B-19,E-14,L2
P0063,C-2,C-2,B-12,B-12,E-9,L2
P0064,C-2,C-2,B-12,B-12,E-9,L2
P0065,C-2,C-2,B-12,B-12,E-9,L2
P0066,C-15,C-15,B-19,B-19,E-14,L2
P0067,C-15,C-15,B-19,B-19,E-14,L2
P0068,C-15,C-15,B-19,B-19,E-14,L2
P0069,C-15,C-15,B-19,B-19,E-14,L2
