Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIASC,GUIASL,Familia
P001,C-22,C-22,B-22,B-22,E-1-15,E-2-9,F1
P002,C-22,C-22,B-22,B-22,E-1-15,E-2-9,F1
P003,C-22,C-22,B-22,B-22,E-1-15,E-2-9,F1
P004,C-24,C-24,B-24,B-24,E-1-3,E-2-2,F1
P005,C-24,C-24,B-24,B-24,E-1-3,E-2-2,F1
P006,C-24,C-24,B-24,B-24,E-1-3,E-2-2,F1
P007,C-37,C-37,B-37,B-37,E-1-9,E-2-10,F1
P008,C-37,C-37,B-37,B-37,E-1-9,E-2-10,F1
P009,C-37,C-37,B-37,B-37,E-1-9,E-2-10,F1
P010,C-38,C-38,B-38,B-38,E-1-9,E-2-10,F1
P011,C-38,C-38,B-38,B-38,E-1-9,E-2-10,F1
P012,C-38,C-38,B-38,B-38,E-1-9,E-2-10,F1
P013,C-38,C-38,B-38,B-38,E-1-9,E-2-10,F1
P014,C-38,C-38,B-38,B-38,E-1-9,E-2-10,F1
P015,C-38,C-38,B-38,B-38,E-1-9,E-2-10,F1
P016,C-38,C-38,B-38,B-38,E-1-9,E-2-10,F1
P017,C-37,C-37,B-37,B-37,E-1-9,E-2-10,F1
P018,C-38,C-38,B-38,B-38,E-1-9,E-2-10,F1
P019,C-37,C-37,B-37,B-37,E-1-9,E-2-10,F1
P020,C-37,C-37,B-37,B-37,E-1-9,E-2-10,F1
P021,C-24,C-24,B-24,B-24,E-1-3,E-2-2,F1
P022,C-43,C-43,B-43,B-43,E-1-17,E-2-17,F1
P023,C-43,C-43,B-43,B-43,E-1-17,E-2-17,F1
P024,C-43,C-43,B-43,B-43,E-1-17,E-2-17,F1
P025,C-43,C-43,B-43,B-43,E-1-17,E-2-17,F1
P026,C-43,C-43,B-43,B-43,E-1-17,E-2-17,F1
P027,C-43,C-43,B-43,B-43,E-1-17,E-2-17,F1
P028,C-43,C-43,B-43,B-43,E-1-17,E-2-17,F1
P029,C-47,C-47,B-47,B-47,E-1-17,E-2-17,F1
P030,C-6,C-6,B-6,B-6,E-1-13,E-2-15,F1
P031,C-6,C-6,B-6,B-6,E-1-13,E-2-15,F1
P032,C-6,C-6,B-6,B-6,E-1-13,E-2-15,F1
P033,C-6,C-6,B-6,B-6,E-1-13,E-2-15,F1
P034,C-1,C-1,B-1,B-1,E-1-13,E-2-15,F1
P035,C-1,C-1,B-1,B-1,E-1-13,E-2-15,F1
P036,C-6,C-6,B-6,B-6,E-1-13,E-2-15,F1
P037,C-46,C-46,B-46,B-46,E-1-21,E-2-20,F1
P038,C-6,C-6,B-6,B-6,E-1-13,E-2-15,F1
P039,C-18,C-18,B-18,B-18,E-1-22,E-2-21,F1
P040,C-18,C-18,B-18,B-18,,,F1
P041,C-49,C-49,B-49,B-49,E-1-19,E-2-19,F1
P042,C-18,C-18,B-18,B-18,E-1-22,E-2-21,F1
P043,C-18,C-18,B-18,B-18,E-1-22,E-2-21,F1
P044,C-18,C-18,B-18,B-18,E-1-22,E-2-21,F1
P045,C-18,C-18,B-18,B-18,E-1-22,E-2-21,F1
P046,C-20,C-20,B-20,B-20,E-1-18,E-2-18,F1
P047,C-20,C-20,B-20,B-20,E-1-18,E-2-18,F1
P048,C-20,C-20,B-20,B-20,E-1-18,E-2-18,F1
P049,C-20,C-20,B-20,B-20,E-1-18,E-2-18,F1
P050,C-20,C-20,B-20,B-20,E-1-18,E-2-18,F1
P051,C-26,C-26,B-26,B-26,,,F1
P052,C-2,C-2,B-2,B-2,E-1-14,E-2-16,F1
P053,C-41,C-41,B-41,B-41,E-1-14,E-2-16,F1
P054,C-40,C-40,B-40,B-40,E-1-9,E-2-10,F1
P055,C-40,C-40,B-40,B-40,E-1-9,E-2-10,F1
P056,C-40,C-40,B-40,B-40,E-1-9,E-2-10,F1
P057,C-40,C-40,B-40,B-40,E-1-9,E-2-10,F1
P058,C-35,C-35,B-35,B-35,E-1-11,E-2-12,F1
P059,C-19,C-19,B-19,B-19,E-1-11,E-2-12,F1
