Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIASC,GUIASL,Linea
P0001,C-22,C-22,B-22,B-22,E-1-15,E-2-9,L3
P0002,C-22,C-22,B-22,B-22,E-1-15,E-2-9,L3
P0003,C-22,C-22,B-22,B-22,E-1-15,E-2-9,L3
P0004,C-24,C-24,B-24,B-24,E-1-3,E-2-2,L3
P0005,C-24,C-24,B-24,B-24,E-1-3,E-2-2,L3
P0006,C-24,C-24,B-24,B-24,E-1-3,E-2-2,L3
P0007,C-37,C-37,B-37,B-37,E-1-9,E-2-10,L3
P0008,C-37,C-37,B-37,B-37,E-1-9,E-2-10,L3
P0009,C-37,C-37,B-37,B-37,E-1-9,E-2-10,L3
P0010,C-38,C-38,B-38,B-38,E-1-9,E-2-10,L3
P0011,C-38,C-38,B-38,B-38,E-1-9,E-2-10,L3
P0012,C-38,C-38,B-38,B-38,E-1-9,E-2-10,L3
P0013,C-38,C-38,B-38,B-38,E-1-9,E-2-10,L3
P0014,C-38,C-38,B-38,B-38,E-1-9,E-2-10,L3
P0015,C-38,C-38,B-38,B-38,E-1-9,E-2-10,L3
P0016,C-38,C-38,B-38,B-38,E-1-9,E-2-10,L3
P0017,C-37,C-37,B-37,B-37,E-1-9,E-2-10,L3
P0018,C-38,C-38,B-38,B-38,E-1-9,E-2-10,L3
P0019,C-37,C-37,B-37,B-37,E-1-9,E-2-10,L3
P0020,C-37,C-37,B-37,B-37,E-1-9,E-2-10,L3
P0021,C-24,C-24,B-24,B-24,E-1-3,E-2-2,L3
P0022,C-43,C-43,B-43,B-43,E-1-17,E-2-17,L3
P0023,C-43,C-43,B-43,B-43,E-1-17,E-2-17,L3
P0024,C-43,C-43,B-43,B-43,E-1-17,E-2-17,L3
P0025,C-43,C-43,B-43,B-43,E-1-17,E-2-17,L3
P0026,C-43,C-43,B-43,B-43,E-1-17,E-2-17,L3
P0027,C-43,C-43,B-43,B-43,E-1-17,E-2-17,L3
P0028,C-43,C-43,B-43,B-43,E-1-17,E-2-17,L3
P0029,C-47,C-47,B-47,B-47,E-1-17,E-2-17,L3
P0030,C-6,C-6,B-6,B-6,E-1-13,E-2-15,L3
P0031,C-6,C-6,B-6,B-6,E-1-13,E-2-15,L3
P0032,C-6,C-6,B-6,B-6,E-1-13,E-2-15,L3
P0033,C-6,C-6,B-6,B-6,E-1-13,E-2-15,L3
P0034,C-1,C-1,B-1,B-1,E-1-13,E-2-15,L3
P0035,C-1,C-1,B-1,B-1,E-1-13,E-2-15,L3
P0036,C-6,C-6,B-6,B-6,E-1-13,E-2-15,L3
P0037,C-46,C-46,B-46,B-46,E-1-21,E-2-20,L3
P0038,C-6,C-6,B-6,B-6,E-1-13,E-2-15,L3
P0039,C-18,C-18,B-18,B-18,E-1-22,E-2-21,L3
P0040,C-18,C-18,B-18,B-18,,,L3
P0041,C-49,C-49,B-49,B-49,E-1-19,E-2-19,L3
P0042,C-18,C-18,B-18,B-18,E-1-22,E-2-21,L3
P0043,C-18,C-18,B-18,B-18,E-1-22,E-2-21,L3
P0044,C-18,C-18,B-18,B-18,E-1-22,E-2-21,L3
P0045,C-18,C-18,B-18,B-18,E-1-22,E-2-21,L3
P0046,C-20,C-20,B-20,B-20,E-1-18,E-2-18,L3
P0047,C-20,C-20,B-20,B-20,E-1-18,E-2-18,L3
P0048,C-20,C-20,B-20,B-20,E-1-18,E-2-18,L3
P0049,C-20,C-20,B-20,B-20,E-1-18,E-2-18,L3
P0050,C-20,C-20,B-20,B-20,E-1-18,E-2-18,L3
P0051,C-26,C-26,B-26,B-26,,,L3
P0052,C-2,C-2,B-2,B-2,E-1-14,E-2-16,L3
P0053,C-41,C-41,B-41,B-41,E-1-14,E-2-16,L3
P0054,C-40,C-40,B-40,B-40,E-1-9,E-2-10,L3
P0055,C-40,C-40,B-40,B-40,E-1-9,E-2-10,L3
P0056,C-40,C-40,B-40,B-40,E-1-9,E-2-10,L3
P0057,C-40,C-40,B-40,B-40,E-1-9,E-2-10,L3
P0058,C-35,C-35,B-35,B-35,E-1-11,E-2-12,L3
P0059,C-19,C-19,B-19,B-19,E-1-11,E-2-12,L3
P0060,C-25,C-25,B-25,B-25,E-1-10,E-2-13,L3
P0061,C-28,C-28,B-28,B-28,E-1-4,E-2-3,L3
P0062,C-25,C-25,B-25,B-25,E-1-10,E-2-13,L3
P0063,C-25,C-25,B-25,B-25,E-1-10,E-2-13,L3
P0064,C-28,C-28,B-28,B-28,E-1-4,E-2-3,L3
P0065,C-27,C-27,B-27,B-27,,E-2-13,L3
P0066,C-32,C-32,B-32,B-32,E-1-4,E-2-3,L3
