Producto_ID,FOR_INF,FOR_SUP,SELL_INF,SELL_SUP,GUIASC,GUIASL,Familia
P001,C-4,C-4,B-10,B-10,E-1-10,E-2-9,F2
P002,C-4,C-4,B-10,B-10,E-1-10,E-2-9,F2
P003,C-4,C-4,B-10,B-10,E-1-10,E-2-9,F2
P004,C-4,C-4,B-10,B-10,E-1-10,E-2-9,F2
P005,C-4,C-4,B-10,B-10,E-1-10,E-2-9,F2
P006,C-4,C-4,B-10,B-10,E-1-10,E-2-9,F2
P007,C-4,C-4,B-10,B-10,E-1-10,E-2-9,F2
P008,C-4,C-4,B-10,B-10,E-1-10,E-2-9,F2
P009,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P010,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P011,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P012,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P013,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P014,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P015,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P016,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P017,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P018,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P019,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P020,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P021,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P022,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P023,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P024,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P025,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P026,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P027,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P028,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P029,C-5,C-5,B-11,B-11,E-1-11,E-2-10,F2
P030,C-4,C-4,B-10,B-10,E-1-10,E-2-9,F2
P031,C-4,C-4,B-10,B-10,E-1-10,E-2-9,F2
P032,C-5,C-5,B-11,B-11,E-1-11,E-2-11,F2
P033,C-5,C-5,B-11,B-11,E-1-11,E-2-11,F2
P034,C-5,C-5,B-11,B-11,E-1-11,E-2-11,F2
P035,C-5,C-5,B-11,B-11,E-1-11,E-2-11,F2
P036,C-16,C-16,B-16,B-16,E-1-2,E-2-1,F2
P037,C-16,C-16,B-16,B-16,E-1-2,E-2-1,F2
P038,C-16,C-16,B-16,B-16,E-1-2,E-2-1,F2
